s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
6.7971385,5.7414738,3.2969865,0.3640352,-0.0178154,8.0,0.0
6.897096449999999,5.83494595,3.3324075,0.3622128,-0.0182313,8.0,0.0
6.9970544,5.9284181,3.3678285,0.3603904,-0.0186472,8.0,0.0
7.097012299999999,6.022020599999999,3.4029004,0.3584851,-0.01906115,8.0,0.0
7.1969702,6.1156231,3.4379723,0.3565798,-0.0194751,8.0,0.0
7.296928100000001,6.2093621,3.4726798,0.35459175,-0.01988915,8.0,0.0
7.396886,6.3031011,3.5073873,0.3526037,-0.0203032,8.0,0.0
7.496843950000001,6.3969801,3.54171395,0.35053285,-0.02071635,8.0,0.0
7.5968019,6.4908591,3.5760406,0.348462,-0.0211295,8.0,0.0
7.696759800000001,6.58488205,3.60997035,0.34630875,-0.02154175,8.0,0.0
7.7967177,6.678905,3.6439001,0.3441555,-0.021954,8.0,0.0
7.896675650000001,6.77307645,3.67741705,0.3419198,-0.022366450000000003,8.0,0.0
7.9966336,6.8672479,3.710934,0.3396841,-0.0227789,8.0,0.0
8.0965915,6.96157035,3.7440214999999997,0.33736595,-0.023190950000000002,8.0,0.0
8.1965494,7.0558928,3.777109,0.3350478,-0.023603,8.0,0.0
8.2965073,7.1503707,3.8097512,0.3326473,-0.024015349999999998,8.0,0.0
8.3964652,7.2448486,3.8423934,0.3302468,-0.0244277,8.0,0.0
8.49642315,7.3394847500000004,3.8745738000000003,0.3277638,-0.024840050000000002,8.0,0.0
8.5963811,7.4341209,3.9067542,0.3252808,-0.0252524,8.0,0.0
8.696339,7.52891815,3.9384563999999997,0.3227154,-0.0256649,8.0,0.0
8.7962969,7.6237154,3.9701586,0.32015,-0.0260774,8.0,0.0
8.89625485,7.71867695,4.00136625,0.3175021,-0.0264902,8.0,0.0
8.9962128,7.8136385,4.0325739,0.3148542,-0.026903,8.0,0.0
9.0961707,7.9087661,4.0632703,0.31212379999999995,-0.027315600000000002,8.0,0.0
9.1961286,8.0038937,4.0939667,0.3093934,-0.0277282,8.0,0.0
9.2960865,8.0991902,4.124135300000001,0.30658050000000003,-0.0281413,8.0,0.0
9.3960444,8.1944867,4.1543039,0.3037676,-0.0285544,8.0,0.0
9.49600235,8.2899539,4.1839280500000005,0.30087205,-0.0289676,8.0,0.0
9.5959603,8.3854211,4.2135522,0.2979765,-0.0293808,8.0,0.0
9.6959182,8.4810606,4.2426150499999995,0.2949983,-0.02979425,8.0,0.0
9.7958761,8.5767001,4.2716779,0.2920201,-0.0302077,8.0,0.0
9.895834,8.6725133,4.3001627,0.28895925,-0.03062175,8.0,0.0
9.9957919,8.7683265,4.3286475,0.2858984,-0.0310358,8.0,0.0
10.09574985,8.86431475,4.35653725,0.28275475,-0.0314497,8.0,0.0
10.1957078,8.960303,4.384427,0.2796111,-0.0318636,8.0,0.0
10.2956657,9.05646675,4.41170475,0.27638465,-0.032278249999999994,8.0,0.0
10.3956236,9.1526305,4.4389825,0.2731582,-0.0326929,8.0,0.0
10.49558155,9.2489706,4.46563115,0.2698488,-0.0331078,8.0,0.0
10.5955395,9.3453107,4.4922798,0.2665394,-0.0335227,8.0,0.0
10.6954974,9.4418273,4.51828225,0.263147,-0.0339381,8.0,0.0
10.7954553,9.5383439,4.5442847,0.2597546,-0.0343535,8.0,0.0
10.8954132,9.63503635,4.56962355,0.25627915,-0.0347697,8.0,0.0
10.9953711,9.7317288,4.5949624,0.2528037,-0.0351859,8.0,0.0
11.09532905,9.828597850000001,4.61962065,0.249245,-0.0356021,8.0,0.0
11.195287,9.9254669,4.6442789,0.2456863,-0.0360183,8.0,0.0
11.2952449,10.022510350000001,4.66823885,0.24204425000000002,-0.03643565,8.0,0.0
11.3952028,10.1195538,4.6921988,0.2384022,-0.036853,8.0,0.0
11.49516075,10.216771399999999,4.7154432,0.23467670000000002,-0.0372708,8.0,0.0
11.5951187,10.313989,4.7386876,0.2309512,-0.0376886,8.0,0.0
11.6950766,10.4113791,4.7611989,0.2271421,-0.0381072,8.0,0.0
11.7950345,10.5087692,4.7837102,0.223333,-0.0385258,8.0,0.0
11.8949924,10.60632885,4.80547055,0.21944015,-0.0389456,8.0,0.0
11.9949503,10.7038885,4.8272309,0.2155473,-0.0393654,8.0,0.0
12.09490825,10.80161795,4.8482231,0.2115704,-0.03978545,8.0,0.0
12.1948662,10.8993474,4.8692153,0.2075935,-0.0402055,8.0,0.0
12.2948241,10.99724125,4.8894211,0.20353254999999998,-0.0406271,8.0,0.0
12.394782,11.0951351,4.9096269,0.1994716,-0.0410487,8.0,0.0
12.49473995,11.193191800000001,4.9290287,0.1953262,-0.0414711,8.0,0.0
12.5946979,11.2912485,4.9484305,0.1911808,-0.0418935,8.0,0.0
12.6946558,11.38946465,4.9670105,0.1869509,-0.04231715,8.0,0.0
12.7946137,11.4876808,4.9855905,0.182721,-0.0427408,8.0,0.0
12.894571599999999,11.5860504,5.0033303,0.17840625,-0.04316605,8.0,0.0
12.9945295,11.68442,5.0210701,0.1740915,-0.0435913,8.0,0.0
13.094487449999999,11.78294315,5.037952450000001,0.1696916,-0.0440172,8.0,0.0
13.1944454,11.8814663,5.0548348,0.1652917,-0.0444431,8.0,0.0
13.294403299999999,11.980133599999998,5.07084075,0.16080655,-0.044871,8.0,0.0
13.3943612,12.0788009,5.0868467,0.1563214,-0.0452989,8.0,0.0
13.4943191,12.17760965,5.1019586,0.1517505,-0.0457281,8.0,0.0
13.594277,12.2764184,5.1170705,0.1471796,-0.0461573,8.0,0.0
13.69423495,12.375363,5.1312701,0.14252275,-0.046588199999999996,8.0,0.0
13.7941929,12.4743076,5.1454697,0.1378659,-0.0470191,8.0,0.0
13.8941508,12.57337875,5.15873825,0.1331228,-0.0474522,8.0,0.0
13.9941087,12.6724499,5.1720068,0.1283797,-0.0478853,8.0,0.0
14.09406665,12.771647399999999,5.1843268,0.12354975000000001,-0.0483195,8.0,0.0
14.1940246,12.8708449,5.1966468,0.1187198,-0.0487537,8.0,0.0
14.2939825,12.970155049999999,5.2079991,0.1138029,-0.04919055,8.0,0.0
14.3939404,13.0694652,5.2193514,0.108886,-0.0496274,8.0,0.0
14.4938983,13.1688838,5.2297179499999995,0.1038815,-0.05006605,8.0,0.0
14.5938562,13.2683024,5.2400845,0.098877,-0.0505047,8.0,0.0
14.69381415,13.367821450000001,5.249446799999999,0.09378455,-0.0509457,8.0,0.0
14.7937721,13.4673405,5.2588091,0.0886921,-0.0513867,8.0,0.0
14.89373,13.56694705,5.26714825,0.0835114,-0.05183055,8.0,0.0
14.9936879,13.6665536,5.2754874,0.0783307,-0.0522744,8.0,0.0
15.09364585,13.76624705,5.28278555,0.07306085000000001,-0.05272,8.0,0.0
