s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
334.450074;-15.6505632;-7.2369021;-0.9554974;-0.0279823;9.9211983;1.8651782
334.5500591;-15.5688349;-7.1793044;-0.9582851;-0.0277788;9.9399776;1.873407
334.6500442;-15.4869469;-7.121934;-0.9610524;-0.0275755;9.9588042;1.881717
334.7500292;-15.404901;-7.0647896;-0.9637994;-0.0273724;9.9776785;1.8901056
334.8500143;-15.3226991;-7.0078699;-0.966526;-0.0271695;9.9966011;1.8985771
334.9499994;-15.2403428;-6.9511738;-0.9692325;-0.0269668;10.0155725;1.9071287
335.0499845;-15.1578339;-6.8946999;-0.9719186;-0.0267642;10.0345932;1.9157648
335.1499695;-15.0751743;-6.838447;-0.9745845;-0.0265619;10.0536638;1.9244826
335.2499546;-14.9923655;-6.7824138;-0.9772302;-0.0263597;10.0727849;1.9332866
335.3499397;-14.9094093;-6.7265991;-0.9798557;-0.0261577;10.0919569;1.9421738
335.4499248;-14.8263074;-6.6710016;-0.982461;-0.0259559;10.1111805;1.9511489
335.5499098;-14.7430616;-6.6156199;-0.9850461;-0.0257542;10.1304562;1.9602089
335.6498949;-14.6596733;-6.5604527;-0.987611;-0.0255527;10.1497846;1.9693583
335.74988;-14.5761445;-6.5054988;-0.9901559;-0.0253514;10.1691661;1.9785942
335.849865;-14.4924765;-6.4507567;-0.9926806;-0.0251501;10.1886014;1.9879214
335.9498501;-14.4086713;-6.3962252;-0.9951851;-0.0249491;10.2080911;1.9973367
336.0498352;-14.3247302;-6.341903;-0.9976696;-0.0247482;10.2276357;2.006845
336.1498203;-14.240655;-6.2877886;-1.000134;-0.0245474;10.2472358;2.0164431
336.2498053;-14.1564471;-6.2338807;-1.0025784;-0.0243468;10.2668919;2.0261358
336.3497904;-14.0721084;-6.1801781;-1.0050027;-0.0241463;10.2866047;2.0359202
336.4497755;-13.9876402;-6.1266791;-1.0074069;-0.0239459;10.3063747;2.045801
336.5497606;-13.9030442;-6.0733826;-1.0097911;-0.0237456;10.3262025;2.0557751
336.6497456;-13.8183218;-6.020287;-1.0121553;-0.0235455;10.3460887;2.0658474
336.7497307;-13.7334748;-5.9673911;-1.0144995;-0.0233455;10.366034;2.0760149
336.8497158;-13.6485044;-5.9146933;-1.0168238;-0.0231456;10.3860387;2.0862823
336.9497009;-13.5634124;-5.8621923;-1.019128;-0.0229458;10.4061037;2.0966467
337.0496859;-13.4782;-5.8098867;-1.0214122;-0.0227461;10.4262295;2.1071129
337.149671;-13.3928691;-5.757775;-1.0236765;-0.0225466;10.4464167;2.117678
337.2496561;-13.3074207;-5.7058558;-1.0259209;-0.0223471;10.4666658;2.1283466
337.3496412;-13.2218567;-5.6541277;-1.0281453;-0.0221477;10.4869776;2.1391159
337.4496262;-13.1361782;-5.6025891;-1.0303498;-0.0219484;10.5073526;2.1499909
337.5496113;-13.050387;-5.5512388;-1.0325343;-0.0217492;10.5277915;2.1609685
337.6495964;-12.9644841;-5.500075;-1.034699;-0.0215501;10.5482948;2.1720534
337.7495815;-12.8784714;-5.4490966;-1.0368437;-0.0213511;10.5688631;2.183243
337.8495665;-12.7923498;-5.3983018;-1.0389686;-0.0211522;10.5894972;2.1945419
337.9495516;-12.7061213;-5.3476893;-1.0410735;-0.0209534;10.6101977;2.2059475
338.0495367;-12.6197866;-5.2972575;-1.0431586;-0.0207546;10.6309651;2.2174643
338.1495218;-12.5333477;-5.2470051;-1.0452238;-0.0205559;10.6518001;2.2290898
338.2495068;-12.4468055;-5.1969303;-1.0472692;-0.0203573;10.6727033;2.2408286
338.3494919;-12.3601618;-5.1470319;-1.0492947;-0.0201587;10.6936755;2.2526782
338.449477;-12.2734174;-5.0973081;-1.0513003;-0.0199602;10.7147171;2.2646431
338.5494621;-12.1865743;-5.0477577;-1.0532861;-0.0197618;10.735829;2.2767209
338.6494471;-12.0996331;-4.9983788;-1.0552521;-0.0195635;10.7570117;2.2889159
